# Cycle: 1
# Start Time: 2026-01-21 14:15:23
# Sample Rate: 100 Hz
# Format: Timestamp(ms),Ax(m/s²),Ay,Az,Gx(°/s),Gy,Gz
Timestamp,Ax,Ay,Az,Gx,Gy,Gz
2488,-0.784,4.208,8.811,0.052,0.007,-0.124
2498,-0.784,4.217,8.808,0.037,0.144,-0.323
2508,-0.779,4.221,8.815,-0.146,0.221,-0.353
2518,-0.775,4.227,8.808,-0.513,0.358,-0.307
2528,-0.776,4.205,8.780,-0.879,0.419,-0.201
2538,-0.799,4.211,8.784,-1.154,0.495,-0.048
2548,-0.799,4.223,8.805,-1.306,0.465,0.151
2558,-0.798,4.219,8.811,-1.230,0.327,0.303
2568,-0.793,4.190,8.836,-0.894,0.098,0.425
2578,-0.815,4.198,8.828,-0.421,-0.054,0.380
2588,-0.794,4.203,8.824,0.006,-0.314,0.319
2598,-0.817,4.213,8.820,0.388,-0.482,0.288
2608,-0.788,4.213,8.786,0.541,-0.482,0.181
2618,-0.795,4.223,8.810,0.465,-0.360,0.181
2628,-0.816,4.247,8.768,0.098,-0.253,0.242
2638,-0.800,4.220,8.791,-0.345,-0.054,0.212
2648,-0.800,4.215,8.765,-0.787,0.159,0.227
2658,-0.807,4.220,8.790,-1.169,0.312,0.196
2668,-0.792,4.203,8.808,-1.306,0.419,0.135
2678,-0.789,4.208,8.829,-1.276,0.465,0.044
2688,-0.810,4.202,8.834,-1.001,0.450,-0.063
2698,-0.804,4.192,8.812,-0.665,0.297,-0.139
2708,-0.807,4.210,8.827,-0.360,0.175,-0.155
2718,-0.787,4.214,8.841,-0.070,-0.008,-0.078
2728,-0.805,4.209,8.811,0.129,-0.070,0.028
2738,-0.804,4.231,8.791,0.006,-0.176,0.257
2748,-0.805,4.208,8.809,-0.177,-0.283,0.364
2758,-0.815,4.226,8.814,-0.360,-0.207,0.502
2768,-0.799,4.231,8.791,-0.543,-0.115,0.532
2778,-0.787,4.226,8.842,-0.665,-0.100,0.486
2788,-0.780,4.223,8.839,-0.711,0.007,0.471
2798,-0.769,4.223,8.828,-0.635,0.053,0.303
2808,-0.784,4.211,8.820,-0.497,0.007,0.151
2818,-0.797,4.202,8.838,-0.329,0.098,-0.078
2828,-0.789,4.197,8.815,-0.329,0.190,-0.201
2838,-0.788,4.215,8.790,-0.314,0.236,-0.231
2848,-0.785,4.208,8.816,-0.421,0.236,-0.170
2858,-0.792,4.210,8.824,-0.619,0.312,-0.063
2868,-0.810,4.208,8.794,-0.772,0.236,0.074
2878,-0.805,4.198,8.811,-0.848,0.221,0.181
2888,-0.798,4.202,8.814,-0.818,0.114,0.273
2898,-0.794,4.194,8.808,-0.696,0.007,0.425
2908,-0.806,4.198,8.818,-0.482,-0.161,0.441
2918,-0.795,4.202,8.835,-0.161,-0.237,0.410
2928,-0.787,4.203,8.799,0.037,-0.237,0.334
2938,-0.804,4.229,8.823,0.144,-0.299,0.196
2948,-0.788,4.228,8.784,0.022,-0.192,0.196
2958,-0.792,4.226,8.811,-0.131,-0.070,0.166
2968,-0.786,4.213,8.792,-0.406,0.068,0.105
2978,-0.788,4.209,8.799,-0.665,0.190,0.059
2988,-0.789,4.221,8.793,-0.910,0.236,0.044
2998,-0.798,4.220,8.821,-1.047,0.312,0.074
3008,-0.794,4.228,8.802,-1.062,0.343,0.028
3018,-0.803,4.223,8.821,-0.925,0.297,-0.002
3048,-0.805,4.202,8.815,-0.146,-0.054,0.105
3058,-0.791,4.213,8.793,-0.024,-0.146,0.196
3068,-0.799,4.214,8.798,-0.009,-0.207,0.257
3078,-0.797,4.223,8.806,-0.131,-0.222,0.303
3088,-0.800,4.213,8.780,-0.284,-0.207,0.364
3098,-0.804,4.229,8.822,-0.482,-0.115,0.380
3108,-0.784,4.229,8.786,-0.604,-0.054,0.319
3118,-0.781,4.229,8.788,-0.681,-0.008,0.273
3128,-0.797,4.241,8.817,-0.650,0.129,0.166
3138,-0.791,4.232,8.840,-0.589,0.159,0.105
3148,-0.784,4.228,8.817,-0.482,0.175,-0.002
3158,-0.795,4.200,8.863,-0.436,0.159,-0.078
3168,-0.786,4.207,8.810,-0.375,0.159,-0.078
3178,-0.788,4.209,8.779,-0.467,0.144,-0.109
3188,-0.786,4.231,8.793,-0.513,0.129,0.013
3198,-0.785,4.221,8.809,-0.497,0.129,0.151
3208,-0.793,4.200,8.811,-0.589,0.068,0.242
3218,-0.784,4.205,8.799,-0.635,0.037,0.319
3228,-0.792,4.209,8.792,-0.543,-0.024,0.334
3238,-0.813,4.213,8.841,-0.390,-0.070,0.303
3248,-0.788,4.221,8.848,-0.284,-0.100,0.319
3258,-0.791,4.228,8.797,-0.238,-0.115,0.257
3268,-0.791,4.226,8.784,-0.161,-0.070,0.227
3278,-0.795,4.216,8.816,-0.192,-0.070,0.120
3288,-0.792,4.223,8.824,-0.299,0.068,0.090
3298,-0.803,4.240,8.827,-0.482,0.144,0.028
3308,-0.803,4.237,8.794,-0.665,0.190,0.013
3318,-0.792,4.220,8.817,-0.803,0.175,0.074
3328,-0.804,4.211,8.814,-0.833,0.236,0.120
3338,-0.812,4.225,8.794,-0.818,0.251,0.105
3348,-0.816,4.210,8.814,-0.726,0.159,0.135
3358,-0.817,4.209,8.822,-0.528,0.098,0.151
3368,-0.807,4.202,8.796,-0.406,0.022,0.151
3378,-0.794,4.201,8.827,-0.238,-0.039,0.135
3388,-0.799,4.216,8.788,-0.131,-0.131,0.242
3398,-0.799,4.213,8.781,-0.131,-0.115,0.242
3408,-0.797,4.209,8.805,-0.268,-0.070,0.196
3418,-0.781,4.221,8.802,-0.345,-0.115,0.227
3428,-0.784,4.222,8.780,-0.513,-0.054,0.288
3438,-0.778,4.219,8.816,-0.589,0.037,0.242
3448,-0.775,4.228,8.799,-0.665,0.144,0.166
3458,-0.794,4.223,8.779,-0.665,0.205,0.059
3468,-0.792,4.197,8.797,-0.635,0.205,0.044
3478,-0.785,4.197,8.822,-0.574,0.144,0.013
3488,-0.806,4.204,8.834,-0.467,0.114,-0.048
3498,-0.797,4.211,8.816,-0.406,0.144,-0.017
3508,-0.804,4.195,8.816,-0.390,0.114,0.013
3518,-0.800,4.220,8.799,-0.436,0.022,0.105
3528,-0.798,4.219,8.824,-0.467,0.053,0.166
3538,-0.806,4.204,8.788,-0.467,0.053,0.227
3548,-0.792,4.215,8.791,-0.452,-0.024,0.242
3558,-0.788,4.227,8.805,-0.482,-0.039,0.273
3568,-0.787,4.219,8.793,-0.467,-0.070,0.257
3578,-0.789,4.213,8.797,-0.421,-0.008,0.257
3588,-0.786,4.214,8.828,-0.345,0.037,0.196
3598,-0.788,4.214,8.841,-0.360,0.037,0.135
3608,-0.774,4.221,8.811,-0.375,0.037,0.074
3618,-0.805,4.209,8.811,-0.436,0.098,0.028
3628,-0.795,4.214,8.790,-0.467,0.221,-0.002
3638,-0.784,4.216,8.815,-0.528,0.144,0.059
3648,-0.798,4.235,8.834,-0.665,0.129,0.074
3658,-0.798,4.227,8.829,-0.696,0.175,0.135
3668,-0.792,4.221,8.814,-0.619,0.175,0.135
3678,-0.801,4.213,8.816,-0.589,0.098,0.181
3688,-0.797,4.215,8.820,-0.452,0.068,0.181
3698,-0.793,4.222,8.808,-0.390,-0.039,0.196
3708,-0.799,4.219,8.833,-0.299,-0.008,0.227
3718,-0.798,4.234,8.809,-0.238,-0.054,0.227
3728,-0.801,4.231,8.806,-0.253,-0.115,0.227
3738,-0.791,4.221,8.812,-0.299,-0.039,0.212
3748,-0.793,4.225,8.836,-0.390,-0.024,0.196
3758,-0.803,4.228,8.805,-0.467,0.007,0.151
3768,-0.804,4.228,8.829,-0.558,0.037,0.212
3778,-0.791,4.223,8.821,-0.589,0.129,0.166
3788,-0.779,4.205,8.828,-0.619,0.221,0.120
3798,-0.801,4.201,8.829,-0.589,0.159,0.135
3808,-0.822,4.211,8.829,-0.604,0.083,0.059
3818,-0.804,4.201,8.796,-0.452,0.098,0.074
3828,-0.793,4.225,8.811,-0.406,0.053,0.059
3838,-0.792,4.231,8.810,-0.390,0.053,0.074
